item_id,name,short_name,category,types,base_price,best_trader,trader_price,flea_level_required,flea_locked
654a4a964b446df1ad03f192,Granit 4RS ballistic plates (Back),Granit 4RS Back,Armor Plate,"armorPlate, noFlea",49626,Ragman,30768,40,True
64afc71497cf3a403c01ff38,Granit Br5 ballistic plate,Granit Br5,Armor Plate,"armorPlate, noFlea",61955,Ragman,38412,40,True
57347ca924597744596b4e71,Graphics card,GPU,Electronics,barter,198000,Therapist,124740,40,True
657b2797c3dbcb01d60c35ea,Korund-VM ballistic plate (Back),Korund-VM Back,Armor Plate,"armorPlate, noFlea",26538,Ragman,16453,40,True
654a4f8bc721968a4404ef18,Korund-VM ballistic plate (Side),Korund-VM Side,Armor Plate,armorPlate,7627,Ragman,4728,40,True
656f664200d62bcd2e024077,Korund-VM ballistic plates (Front),Korund-VM Front,Armor Plate,armorPlate,32780,Ragman,20323,40,True
5d03775b86f774203e7e0c4b,Phased array element,AESA,Electronics,barter,166000,Therapist,104580,40,True
5d235bb686f77443f4331278,S I C C organizational pouch,S I C C,Common container,"container, markedOnly",750000,Therapist,472500,40,True
5fbcc1d9016cce60e8341ab3,SIG MCX .300 Blackout assault rifle,MCX,Assault rifle,"gun, wearable",21300,Mechanic,11928,40,True
5fd251a31189a17bcc172662,SIG MCX .300 Blackout assault rifle Default,MCX Default,Assault rifle,preset,82202,Mechanic,46031,40,True
62875070bbbd995f3c41b225,SIG MCX .300 Blackout assault rifle Neptune Spear,MCX Neptune Spear,Assault rifle,preset,201711,Mechanic,112951,40,True
70726573657400000000005d,SIG MCX .300 Blackout assault rifle T-1,MCX T-1,Assault rifle,preset,197202,Mechanic,110427,40,True
66b0e7f8c5987b623d6e2e81,SIG MCX .300 Blackout assault rifle T.O 2K24,MCX T.O 2K24,Assault rifle,preset,234197,Mechanic,131147,40,True
5fc22d7c187fea44d52eda44,SWORD International Mk-18 .338 LM marksman rifle,Mk-18 Mjölnir,Marksman rifle,"gun, wearable",64400,Jaeger,38640,40,True
5fd25119dd870108a754a163,SWORD International Mk-18 .338 LM marksman rifle Default,Mk-18 Mjölnir Default,Marksman rifle,preset,220562,Mechanic,123514,40,True
707265736574000000000058,SWORD International Mk-18 .338 LM marksman rifle Thor PSR,Mk-18 Mjölnir Thor PSR,Marksman rifle,preset,437723,Mechanic,245121,40,True
5ca20ee186f774799474abc2,Vulkan-5 LShZ-5 bulletproof helmet (Black),Vulkan-5,Headwear,"helmet, wearable",146491,Ragman,90824,40,True
68a987a1609a5cb2120ebd2f,Vulkan-5 LShZ-5 bulletproof helmet (Camouflage),Vulkan-5,Headwear,"noFlea, wearable",146491,Ragman,90824,40,True
68a986ca5c0073fa2d0d8cb8,Vulkan-5 LShZ-5 bulletproof helmet (Eight-ball),LShZ-5,Headwear,"noFlea, wearable",146491,Ragman,90824,40,True
68a98762609a5cb2120ebd26,Vulkan-5 LShZ-5 bulletproof helmet (Flame),Vulkan-5,Headwear,"noFlea, wearable",146491,Ragman,90824,40,True
5c0e534186f7747fa1419867,eTG-change regenerative stimulant injector,eTG-c,Stimulant,"injectors, meds, provisions",37830,Therapist,23832,40,True
657023f81419851aef03e6f1,.366 TKM AP-M ammo pack (20 pcs),AP-M,Ammo container,"ammoBox, noFlea",15400,Mechanic,8624,35,True
6570900858b315e8b70a8a98,5.45x39mm 7N40 ammo pack (120 pcs),7N40,Ammo container,"ammoBox, noFlea",109000,Mechanic,61040,35,True
64898602f09d032aa9399d56,5.45x39mm 7N40 ammo pack (30 pcs),7N40,Ammo container,"ammoBox, noFlea",28000,Mechanic,15680,35,True
65702558cfc010a0f5006a25,7.62x51mm M80 ammo pack (20 pcs),M80,Ammo container,"ammoBox, noFlea",9800,Mechanic,5488,35,True
63a3a93f8a56922e82001f5d,Abandoned factory marked key,Aband.,Mechanical Key,keys,1000000,Therapist,630000,35,True
5780cf7f2459777de4559322,Dorm room 314 marked key,Dorm 314,Mechanical Key,keys,1500000,Therapist,945000,35,True
5d1b2f3f86f774252167a52c,FP-100 filter absorber,FP-100,Other,barter,82000,Therapist,51660,35,True
5e2aedd986f7746d404f3aa4,GreenBat lithium battery,GreenBat,Battery,barter,26000,Therapist,16380,35,True
619cbf7d23893217ec30b689,Injector case,Injectors,Common container,"container, markedOnly",415000,Therapist,261450,35,True
5c0530ee86f774697952d952,LEDX Skin Transilluminator,LEDX,Medical supplies,barter,970000,Therapist,611100,35,True
5d0376a486f7747d8050965c,Military circuit board,MCB,Electronics,barter,40000,Therapist,25200,35,True
5d0378d486f77420421a5ff4,Military power filter,PFilter,Electronics,barter,55000,Therapist,34650,35,True
64ccc25f95763a1ae376e447,Mysterious room marked key,Chek. 13,Mechanical Key,keys,1500000,Therapist,945000,35,True
5d80c60f86f77440373c4ece,RB-BK marked key,RB-BK,Mechanical Key,keys,250000,Therapist,157500,35,True
5ede7a8229445733cb4c18e2,RB-PKPM marked key,RB-PKPM,Mechanical Key,keys,250000,Therapist,157500,35,True
62987dfc402c7f69bf010923,Shared bedroom marked key,Bedroom,Mechanical Key,keys,250000,Therapist,157500,35,True
5d02797c86f774203f38e30a,Surv12 field surgical kit,Surv12,Medical item,"meds, provisions",57600,Therapist,36288,35,True
5c12620d86f7743f8b198b72,Tetriz portable game console,Tetriz,Electronics,barter,120000,Therapist,75600,35,True
5c052fb986f7746b2101e909,UHF RFID Reader,RFIDR,Electronics,barter,48000,Therapist,30240,35,True
5c05308086f7746b2101e90b,Virtex programmable processor,Virtex,Electronics,barter,120000,Therapist,75600,35,True
66507eabf5ddb0818b085b68,2A2-(b-TG) stimulant injector,2A2-(b-TG),Stimulant,"injectors, meds, provisions",87460,Therapist,55099,30,True
5ed515c8d380ab312177c0fa,3-(b-TG) stimulant injector,3-(b-TG),Stimulant,"injectors, meds, provisions",30693,Therapist,19336,30,True
654a4dea7c17dec2f50cc86a,6B12 ballistic plates (Front),6B12 Front,Armor Plate,armorPlate,12418,Ragman,7699,30,True
656efd66034e8e01c407f35c,6B13 custom ballistic plates (Back),6B13 Back,Armor Plate,armorPlate,12038,Ragman,7463,30,True
657b22485f444d6dff0c6c2f,6B23-2 ballistic plate (Back),6B23-2 Back,Armor Plate,armorPlate,11201,Ragman,6944,30,True
656f603f94b480b8a500c0d6,6B33 ballistic plate (Front),6B33 Front,Armor Plate,armorPlate,15207,Ragman,9428,30,True
64ace9f9c4eda9354b0226aa,7.62x39mm PP gzh ammo pack (20 pcs),PP,Ammo container,"ammoBox, noFlea",15200,Mechanic,8512,30,True
5ed515f6915ec335206e4152,AHF1-M stimulant injector,AHF1-M,Stimulant,"injectors, meds, provisions",45500,Therapist,28665,30,True
656f9d5900d62bcd2e02407c,AR500 Legacy Plate ballistic plate,AR500 LP,Armor Plate,armorPlate,12580,Ragman,7799,30,True
67bdf04d66ca1d79a2024637,Activated Kruglov's RFID keycard,RFID act.,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
5c10c8fd86f7743d7d706df3,Adrenaline injector,Adrenaline,Stimulant,"injectors, meds, provisions",31460,Therapist,19819,30,True
590de71386f774347051a052,Antique teapot,Teapot,Jewelry,barter,46900,Therapist,29547,30,True
590de7e986f7741b096e5f32,Antique vase,Vase,Jewelry,barter,67800,Therapist,42714,30,True
62a091170b9d3c46de5b6cf2,Axel parrot figurine,Axel,Jewelry,barter,51000,Therapist,32130,30,True
655c652d60d0ac437100fed7,BEAR operative figurine,BEAR,Jewelry,barter,75000,Therapist,47250,30,True
68f2608301fb9de974058be6,BTR figurine,BTR,Jewelry,barter,100000,Therapist,63000,30,True
6866ad3853330f9b83064cf9,Black Division keycard,BD,Keycard,keys,2673,Therapist,1683,30,True
67c031b79320f644db06f456,Blank RFID keycard,Blank RFID,Keycard,keys,700000,Therapist,441000,30,True
59e3639286f7741777737013,Bronze lion figurine,Lion,Jewelry,barter,162935,Therapist,102649,30,True
5e8488fa988a8701445df1e4,CALOK-B hemostatic applicator,CALOK-B,Medical item,"meds, provisions",4570,Therapist,2879,30,True
59e3658a86f7741776641ac4,Cat figurine,Cat,Jewelry,barter,62308,Therapist,39254,30,True
5c1267ee86f77416ec610f72,Chain with Prokill medallion,Prokill,Jewelry,barter,85000,Therapist,53550,30,True
573474f924597738002c6174,Chainlet,Chainlet,Jewelry,barter,7235,Therapist,4558,30,True
5df8a6a186f77412640e2e80,Christmas tree ornament (Red),Ornament,Jewelry,"barter, noFlea",15000,Therapist,9450,30,True
5df8a72c86f77412640e2e83,Christmas tree ornament (Silver),Ornament,Jewelry,"barter, noFlea",10000,Therapist,6300,30,True
5df8a77486f77412672a1e3f,Christmas tree ornament (Violet),Ornament,Jewelry,"barter, noFlea",20000,Therapist,12600,30,True
679b9d4b3374fb14f40efe6d,Count Bloodsucker figurine,Bloodsucker,Jewelry,"barter, noFlea",75000,Therapist,47250,30,True
656fa8d700d62bcd2e024084,Cult Locust ballistic plate,Cult Locust,Armor Plate,"armorPlate, noFlea",40355,Ragman,25020,30,True
656fa99800d62bcd2e024088,Cult Termite ballistic plate,Cult Termite,Armor Plate,"armorPlate, noFlea",77018,Ragman,47751,30,True
655c669103999d3c810c025b,Cultist figurine,Cultist,Jewelry,barter,100000,Therapist,63000,30,True
655c67ab0d37ca5135388f4b,Ded Moroz figurine,Ded Moroz,Jewelry,barter,100000,Therapist,63000,30,True
66572b8d80b1cd4b6a67847f,Den figurine,Den,Jewelry,barter,75000,Therapist,47250,30,True
64afdcb83efdfea28601d041,ESAPI level IV ballistic plate,ESAPI IV,Armor Plate,"armorPlate, noFlea",72426,Ragman,44904,30,True
64afdb577bb3bfe8fe03fd1d,ESBI level IV ballistic plate (Side),ESBI IV Side,Armor Plate,armorPlate,16120,Ragman,9994,30,True
690c70a2a1461a01d605a1bd,Elvisvista figurine,Elvisvista,Jewelry,barter,50000,Therapist,31500,30,True
68f26161b84c6e1f8a09d001,Escape figurine,Escape,Jewelry,barter,100000,None,0,30,True
68f25da3b84c6e1f8a09cffb,Fence figurine,Fence,Jewelry,barter,100000,Therapist,63000,30,True
656fae5f7c2d57afe200c0d7,GAC 3s15m ballistic plate,GAC 3s15m,Armor Plate,"armorPlate, noFlea",53801,Ragman,33356,30,True
656faf0ca0dce000a2020f77,GAC 4sss2 ballistic plate,GAC 4sss2,Armor Plate,"armorPlate, noFlea",85002,Ragman,52701,30,True
656fa0fb498d1b7e3e071d9c,Global Armor’s Steel ballistic plate,GA Steel,Armor Plate,armorPlate,16079,Ragman,9968,30,True
5d235a5986f77443f6329bc6,Gold skull ring,Skull,Jewelry,barter,55000,Therapist,34650,30,True
62a09cfe4f842e1bd12da3e4,Golden egg,Egg,Jewelry,barter,68000,Therapist,42840,30,True
5734758f24597738025ee253,Golden neck chain,GoldChain,Jewelry,barter,38177,Therapist,24051,30,True
5bc9bc53d4351e00367fbcee,Golden rooster figurine,Rooster,Jewelry,barter,90566,Therapist,57056,30,True
656f63c027aed95beb08f62c,Granit 4RS ballistic plate (Front),Granit 4RS Front,Armor Plate,"armorPlate, noFlea",51402,Ragman,31869,30,True
65573fa5655447403702a816,Granit Br4 ballistic plate,Granit Br4,Armor Plate,"armorPlate, noFlea",39146,Ragman,24270,30,True
64afd81707e2cf40e903a316,Granit ballistic plate (Side),Granit Side,Armor Plate,armorPlate,14521,Ragman,9003,30,True
68f11224197b61ffe703b16f,Hardened PMC figurine,Hardened,Jewelry,"barter, noFlea",75000,None,0,30,True
68f260d7b84c6e1f8a09cffd,Hideout Cat figurine,Cat,Jewelry,barter,100000,Therapist,63000,30,True
573478bc24597738002c6175,Horse figurine,Horse,Jewelry,barter,11448,Therapist,7212,30,True
68f25faa22c8979ee308f4da,Jaeger figurine,Jaeger,Jewelry,barter,100000,Therapist,63000,30,True
656fafe3498d1b7e3e071da4,KITECO SC-IV SA ballistic plate,KITECO SC,Armor Plate,"armorPlate, noFlea",69705,Ragman,43217,30,True
67bdf0e67c1ef7a648043531,Keycard from Kruglov's safe,Kruglov,Keycard,"keys, noFlea",100000,Therapist,63000,30,True
5efde6b4f5448336730dbd61,Keycard with a blue marking,Keycard,Keycard,keys,50000,Therapist,31500,30,True
656fa76500d62bcd2e024080,Kiba Arms Steel ballistic plate,KA Steel,Armor Plate,"armorPlate, noFlea",52900,Ragman,32798,30,True
656fa25e94b480b8a500c0e0,Kiba Arms Titan ballistic plate,KA Titan,Armor Plate,armorPlate,21620,Ragman,13404,30,True
66572c82ad599021091c6118,Killa figurine,Killa,Jewelry,barter,100000,Therapist,63000,30,True
657b28d25f444d6dff0c6c77,Korund-VM-K ballistic plate (Back),Korund-VM-K Back,Armor Plate,"armorPlate, noFlea",42641,Ragman,26437,30,True
656f66b5c6baea13cd07e108,Korund-VM-K ballistic plates (Front),Korund-VM-K Front,Armor Plate,"armorPlate, noFlea",53531,Ragman,33189,30,True
67bdea8667098e658f064695,Kruglov's RFID keycard,Kruglov,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
5ed515e03a40a50460332579,L1 (Norepinephrine) injector,L1,Stimulant,"injectors, meds, provisions",37570,Therapist,23669,30,True
679b9819a2f2dd4da9023512,Labrys access keycard,Labrys,Keycard,"keys, noFlea",120732,Therapist,76061,30,True
68f11adfcd0babab2c0fb003,Left half of a Physical Bitcoin,BTC,Jewelry,"barter, noFlea",12357,Therapist,7784,30,True
6656560053eaaa7a23349c86,Lega Medal,Lega,Jewelry,"barter, noFlea",150000,None,0,30,True
68f25fdf928cd23ddf0471fb,Lightkeeper figurine,Lightkeeper,Jewelry,barter,100000,Therapist,63000,30,True
5ed51652f6c34d2cc26336a1,M.U.L.E. stimulant injector,M.U.L.E.,Stimulant,"injectors, meds, provisions",43550,Therapist,27436,30,True
68f261f6928cd23ddf0471fd,Mastichin figurine,Mastichin,Jewelry,barter,50000,Therapist,31500,30,True
68f25f1201fb9de974058be4,Mechanic figurine,Mechanic,Jewelry,barter,100000,Therapist,63000,30,True
5ed5160a87bb8443d10680b5,Meldonin injector,Meldonin,Stimulant,"injectors, meds, provisions",55900,Therapist,35217,30,True
656fad8c498d1b7e3e071da0,Monoclete level III PE ballistic plate,Monoclete PE,Armor Plate,armorPlate,18620,Ragman,11544,30,True
6638a5474e92f038531e210e,Mr Kerman's cat hologram,Mr Kerman,Jewelry,barter,75000,None,0,30,True
656fa61e94b480b8a500c0e8,NESCO 4400-SA-MC ballistic plate,NESCO 4400,Armor Plate,"armorPlate, noFlea",68217,Ragman,42294,30,True
679b9cce4e4ed4b3b40ae5c5,Nailhead figurine,Nailhead,Jewelry,"barter, noFlea",75000,Therapist,47250,30,True
656fb21fa0dce000a2020f7c,NewSphereTech level III ballistic plate,NST level III,Armor Plate,armorPlate,16842,Ragman,10442,30,True
637b60c3b7afa97bfc3d7001,Obdolbos 2 cocktail injector,Dolbos 2,Stimulant,"injectors, meds, provisions",67000,Therapist,42210,30,True
5ed5166ad380ab312177c100,Obdolbos cocktail injector,Obdolbos,Stimulant,"injectors, meds, provisions",61893,Therapist,38992,30,True
5e42c81886f7742a01529f57,Object #11SR keycard,#11SR,Keycard,keys,100000,Therapist,63000,30,True
5e42c83786f7742a021fdf3c,Object #21WS keycard,#21WS,Keycard,keys,50000,Therapist,31500,30,True
5ed515ece452db0eb56fc028,P22 (Product 22) stimulant injector,P22,Stimulant,"injectors, meds, provisions",40300,Therapist,25389,30,True
6841b6b674a3c16f5e03d653,PMC Origins figurine,Origins,Jewelry,"barter, noFlea",75000,None,0,30,True
637b6179104668754b72f8f5,PNB (Product 16) stimulant injector,PNB,Stimulant,"injectors, meds, provisions",65300,Therapist,41139,30,True
656fac30c6baea13cd07e10c,PRTCTR Lightweight ballistic plate,PRTCTR Light,Armor Plate,armorPlate,13018,Ragman,8071,30,True
68f25eef19a2b503d70dc291,Peacekeeper figurine,Peacekeeper,Jewelry,barter,100000,Therapist,63000,30,True
637b6251104668754b72f8f9,Perfotoran (Blue Blood) stimulant injector,Perfotoran,Stimulant,"injectors, meds, provisions",66000,Therapist,41580,30,True
679b9d43597ba2ed120c3d44,Petya Crooker figurine,Crooker,Jewelry,"barter, noFlea",75000,Therapist,47250,30,True
59faff1d86f7746c51718c9c,Physical Bitcoin,0.2BTC,Jewelry,"barter, noFlea",1121932,Therapist,706817,30,True
679b9d6390622daf9708da76,Pointy guy figurine,Pointy guy,Jewelry,"barter, noFlea",75000,Therapist,47250,30,True
655c66e40b2de553b618d4b8,Politician Mutkevich figurine,Mutkevich,Jewelry,barter,100000,Therapist,63000,30,True
68f25c64b2b53abd200b954f,Prapor figurine,Prapor,Jewelry,barter,100000,Therapist,63000,30,True
5c0e530286f7747fa1419862,Propital regenerative stimulant injector,Propital,Stimulant,"injectors, meds, provisions",21060,Therapist,13267,30,True
67c04dac9320f644db06f45c,RFID keycard with unknown name,RFID L.,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
68f25f3a5d977110860c3350,Ragman figurine,Ragman,Jewelry,barter,100000,Therapist,63000,30,True
5e54f62086f774219b0f1937,Raven figurine,Raven,Jewelry,barter,48000,Therapist,30240,30,True
68f26063b2b53abd200b9553,Ref figurine,Ref,Jewelry,barter,100000,Therapist,63000,30,True
67c033fd0610e91bea056998,Reprogrammed RFID keycard with Mr. Kerman's hash codes,RFID Mr.K,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
67c04a6f9152fbdfa306cc66,Reprogrammed RFID keycard with Prapor's hash codes,RFID Prap.,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
68e7d984308332889e0b5e71,Reprogrammed keycard for A.P.'s apartment lock (Blue),A.P. Blue,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
68c14b734a7e0bada00f8fd4,Reprogrammed keycard for A.P.'s apartment lock (Green),A.P. Green,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
68e7d904aded99fd1a0624f2,Reprogrammed keycard for A.P.'s apartment lock (Red),A.P. Red,Keycard,"keys, noFlea",600000,Therapist,378000,30,True
66572be36a723f7f005a066e,Reshala figurine,Reshala,Jewelry,barter,100000,Therapist,63000,30,True
68f119c6121d878a2303eee3,Right half of a Physical Bitcoin,BTC,Jewelry,"barter, noFlea",12357,Therapist,7784,30,True
59faf7ca86f7740dbe19f6c2,Roler Submariner gold wrist watch,Roler,Jewelry,barter,71049,Therapist,44760,30,True
655c67782a1356436041c9c5,Ryzhy figurine,Ryzhy,Jewelry,barter,50000,Therapist,31500,30,True
655746010177119f4a097ff7,SAPI level III+ ballistic plate,SAPI III+,Armor Plate,"armorPlate, noFlea",37084,Ragman,22992,30,True
5c0e531286f7747fa54205c2,SJ1 TGLabs combat stimulant injector,SJ1,Stimulant,"injectors, meds, provisions",35893,Therapist,22612,30,True
637b612fb7afa97bfc3d7005,SJ12 TGLabs combat stimulant injector,SJ12,Stimulant,"injectors, meds, provisions",41000,Therapist,25830,30,True
5c0e531d86f7747fa23f4d42,SJ6 TGLabs combat stimulant injector,SJ6,Stimulant,"injectors, meds, provisions",27950,Therapist,17608,30,True
5fca13ca637ee0341a484f46,SJ9 TGLabs combat stimulant injector,SJ9,Stimulant,"injectors, meds, provisions",89700,Therapist,56511,30,True
656fb0bd7c2d57afe200c0dc,SPRTN Elaphros ballistic plate,SPRTN Elaphros,Armor Plate,armorPlate,17254,Ragman,10697,30,True
656f9fa0498d1b7e3e071d98,SPRTN Omega ballistic plate,SPRTN Omega,Armor Plate,armorPlate,18241,Ragman,11309,30,True
6557458f83942d705f0c4962,SSAPI level III+ ballistic plate (Side),SSAPI III+ Side,Armor Plate,armorPlate,8804,Ragman,5458,30,True
655c673673a43e23e857aebd,Scav figurine,Scav,Jewelry,barter,50000,Therapist,31500,30,True
5bc9bdb8d4351e003562b8a1,Silver Badge,Badge,Jewelry,barter,60290,Therapist,37982,30,True
68f25eba19a2b503d70dc28f,Skier figurine,Skier,Jewelry,barter,100000,Therapist,63000,30,True
68cc09872bdcc15c010c2668,Station 14-4 KORD Arshavin K. pass (Restored),14-4 rst.,Keycard,"keys, noFlea",165000,Therapist,103950,30,True
66572cbdad599021091c611a,Tagilla figurine,Tagilla,Jewelry,barter,100000,Therapist,63000,30,True
67ea616a74f765cefd009fb7,"Tagilla's welding mask ""ZABEY"" (Replica)","""ZABEY""",Jewelry,"barter, noFlea",75000,Therapist,47250,30,True
656fa53d94b480b8a500c0e4,TallCom Guardian ballistic plate,TC Guardian,Armor Plate,"armorPlate, noFlea",36807,Ragman,22820,30,True
66b37ea4c5d72b0277488439,Tamatthi kunai knife replica,Tamatthi,Jewelry,barter,85643,Therapist,53955,30,True
5c94bbff86f7747ee735c08f,TerraGroup Labs access keycard,Access,Keycard,keys,100000,Therapist,63000,30,True
5c1d0f4986f7744bb01837fa,TerraGroup Labs keycard (Black),Black,Keycard,keys,750000,Therapist,472500,30,True
5c1d0c5f86f7744bb2683cf0,TerraGroup Labs keycard (Blue),Blue,Keycard,keys,900000,Therapist,567000,30,True
5c1d0dc586f7744baf2e7b79,TerraGroup Labs keycard (Green),Green,Keycard,keys,1700000,Therapist,1071000,30,True
5c1d0efb86f7744baf2e7b7b,TerraGroup Labs keycard (Red),Red,Keycard,keys,1650000,Therapist,1039500,30,True
5c1e495a86f7743109743dfb,TerraGroup Labs keycard (Violet),Violet,Keycard,keys,600000,Therapist,378000,30,True
5c1d0d6d86f7744bb2683e1f,TerraGroup Labs keycard (Yellow),Yellow,Keycard,keys,350000,Therapist,220500,30,True
6711039f9e648049e50b3307,TerraGroup Labs residential unit keycard ,Res. unit,Keycard,keys,165000,Therapist,103950,30,True
66acd6702b17692df20144c0,TerraGroup storage room keycard,Polikhim,Keycard,keys,850000,Therapist,535500,30,True
68f25ce9b2b53abd200b9551,Therapist figurine,Therapist,Jewelry,barter,100000,Therapist,63000,30,True
637b620db7afa97bfc3d7009,Trimadol stimulant injector,Trimadol,Stimulant,"injectors, meds, provisions",60000,Therapist,37800,30,True
655c663a6689c676ce57af85,USEC operative figurine,USEC,Jewelry,barter,75000,Therapist,47250,30,True
5f745ee30acaeb0d490d8c5b,Veritas guitar pick,Veritas,Jewelry,barter,55000,Therapist,34650,30,True
66b37eb4acff495a29492407,Viibiin sneaker,Viibiin,Jewelry,barter,56745,Therapist,35749,30,True
68f26124b84c6e1f8a09cfff,Walking Tank figurine,Tank,Jewelry,barter,100000,Therapist,63000,30,True
59e3647686f774176a362507,Wooden clock,Clock,Jewelry,barter,83316,Therapist,52489,30,True
679b9d55708cfcb2060b9ae3,Xenoalien figurine,Xenoalien,Jewelry,"barter, noFlea",75000,Therapist,47250,30,True
5c0e533786f7747fa23f4d47,Zagustin hemostatic drug injector,Zagustin,Stimulant,"injectors, meds, provisions",33540,Therapist,21130,30,True
656f57dc27aed95beb08f628,Zhuk-3 ballistic plate (Front),Zhuk-3 Front,Armor Plate,armorPlate,10185,Ragman,6314,30,True
5fca138c2a7b221b2852a5c6,xTG-12 antidote injector,xTG-12,Stimulant,"injectors, meds, provisions",80600,Therapist,50778,30,True
6582dbe43a2e5248357dbe9a,"""Negotiation"" room key",Negotiations,Mechanical Key,keys,15679,Therapist,9877,25,True
